date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:07:02	40719/40719	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Aug%202021%2009:18:25%20GMT	http://www.dbpengineering.co.in/assets/images/team/team-shape.jpg	F:/pd/www.dbpengineering.co.in/assets/images/team/team-shape.jpg	(from http://www.dbpengineering.co.in/assets/css/style.css)
17:07:02	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Apr%202024%2011:37:09%20GMT	http://www.dbpengineering.co.in/assets/images/page-bg/page-bg-1.jpg	F:/pd/www.dbpengineering.co.in/assets/images/page-bg/page-bg-1.jpg	(from http://www.dbpengineering.co.in/assets/css/style.css)
17:07:02	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Apr%202024%2011:37:09%20GMT	http://www.dbpengineering.co.in/assets/images/page-bg/page-bg-2.jpg	F:/pd/www.dbpengineering.co.in/assets/images/page-bg/page-bg-2.jpg	(from http://www.dbpengineering.co.in/assets/css/style.css)
17:07:02	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Apr%202024%2011:37:09%20GMT	http://www.dbpengineering.co.in/assets/images/page-bg/page-bg-3.jpg	F:/pd/www.dbpengineering.co.in/assets/images/page-bg/page-bg-3.jpg	(from http://www.dbpengineering.co.in/assets/css/style.css)
17:07:03	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Apr%202024%2011:37:09%20GMT	http://www.dbpengineering.co.in/assets/images/page-bg/page-bg-4.jpg	F:/pd/www.dbpengineering.co.in/assets/images/page-bg/page-bg-4.jpg	(from http://www.dbpengineering.co.in/assets/css/style.css)
17:07:03	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Apr%202024%2011:37:10%20GMT	http://www.dbpengineering.co.in/assets/images/page-bg/page-bg-5.jpg	F:/pd/www.dbpengineering.co.in/assets/images/page-bg/page-bg-5.jpg	(from http://www.dbpengineering.co.in/assets/css/style.css)
17:07:03	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Apr%202024%2011:37:10%20GMT	http://www.dbpengineering.co.in/assets/images/page-bg/page-bg-6.jpg	F:/pd/www.dbpengineering.co.in/assets/images/page-bg/page-bg-6.jpg	(from http://www.dbpengineering.co.in/assets/css/style.css)
17:07:03	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Apr%202024%2011:37:10%20GMT	http://www.dbpengineering.co.in/assets/images/page-bg/page-bg-7.jpg	F:/pd/www.dbpengineering.co.in/assets/images/page-bg/page-bg-7.jpg	(from http://www.dbpengineering.co.in/assets/css/style.css)
17:07:04	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Apr%202024%2011:37:10%20GMT	http://www.dbpengineering.co.in/assets/images/page-bg/page-bg-8.jpg	F:/pd/www.dbpengineering.co.in/assets/images/page-bg/page-bg-8.jpg	(from http://www.dbpengineering.co.in/assets/css/style.css)
17:07:04	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Apr%202024%2011:37:11%20GMT	http://www.dbpengineering.co.in/assets/images/page-bg/page-bg-9.jpg	F:/pd/www.dbpengineering.co.in/assets/images/page-bg/page-bg-9.jpg	(from http://www.dbpengineering.co.in/assets/css/style.css)
17:07:04	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Apr%202024%2011:37:11%20GMT	http://www.dbpengineering.co.in/assets/images/page-bg/page-bg-10.jpg	F:/pd/www.dbpengineering.co.in/assets/images/page-bg/page-bg-10.jpg	(from http://www.dbpengineering.co.in/assets/css/style.css)
17:07:38	1384350/1384350	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20May%202022%2007:55:30%20GMT	http://www.dbpengineering.co.in/assets/images/hero-bg/bg-1.jpg	F:/pd/www.dbpengineering.co.in/assets/images/hero-bg/bg-1.jpg	(from http://www.dbpengineering.co.in/assets/css/style.css)
17:07:49	587950/587950	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Aug%202021%2009:18:31%20GMT	http://www.dbpengineering.co.in/assets/images/testimonial/testimonial-bg.png	F:/pd/www.dbpengineering.co.in/assets/images/testimonial/testimonial-bg.png	(from http://www.dbpengineering.co.in/assets/css/style.css)
17:07:51	287470/287470	---M--	200	added ('OK')	image/jpeg	date:Wed,%2011%20May%202022%2012:31:43%20GMT	http://www.dbpengineering.co.in/assets/images/contact-img.jpg	F:/pd/www.dbpengineering.co.in/assets/images/contact-img.jpg	(from http://www.dbpengineering.co.in/assets/css/style.css)
17:07:56	111626/111626	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Aug%202021%2009:17:33%20GMT	http://www.dbpengineering.co.in/assets/images/contact-info-bg.jpg	F:/pd/www.dbpengineering.co.in/assets/images/contact-info-bg.jpg	(from http://www.dbpengineering.co.in/assets/css/style.css)
